variant,N,P,imb,delta,rep,seconds,rc
ghc,10000,1,0,0,1,0.013147,0
ghc,10000,1,0,0,2,0.013798,0
ghc,10000,1,0,0,3,0.013242,0
ghc,10000,1,5,0,1,0.013692,0
ghc,10000,1,5,0,2,0.013167,0
ghc,10000,1,5,0,3,0.013750,0
ghc,10000,1,10,0,1,0.013211,0
ghc,10000,1,10,0,2,0.013158,0
ghc,10000,1,10,0,3,0.013067,0
ghc,10000,1,15,0,1,0.013214,0
ghc,10000,1,15,0,2,0.013006,0
ghc,10000,1,15,0,3,0.013191,0
ghc,10000,1,20,0,1,0.013049,0
ghc,10000,1,20,0,2,0.012889,0
ghc,10000,1,20,0,3,0.012570,0
ghc,10000,1,25,0,1,0.013476,0
ghc,10000,1,25,0,2,0.013178,0
ghc,10000,1,25,0,3,0.013418,0
ghc,10000,1,30,0,1,0.013107,0
ghc,10000,1,30,0,2,0.012765,0
ghc,10000,1,30,0,3,0.012794,0
ghc,10000,1,35,0,1,0.013491,0
ghc,10000,1,35,0,2,0.012849,0
ghc,10000,1,35,0,3,0.013687,0
ghc,10000,1,40,0,1,0.013201,0
ghc,10000,1,40,0,2,0.013498,0
ghc,10000,1,40,0,3,0.012947,0
ghc,10000,1,45,0,1,0.013147,0
ghc,10000,1,45,0,2,0.012920,0
ghc,10000,1,45,0,3,0.012646,0
ghc,10000,1,50,0,1,0.013178,0
ghc,10000,1,50,0,2,0.012957,0
ghc,10000,1,50,0,3,0.012844,0
ghc,10000,1,55,0,1,0.013039,0
ghc,10000,1,55,0,2,0.013065,0
ghc,10000,1,55,0,3,0.013565,0
ghc,10000,1,60,0,1,0.013084,0
ghc,10000,1,60,0,2,0.012740,0
ghc,10000,1,60,0,3,0.013386,0
ghc,10000,1,65,0,1,0.012997,0
ghc,10000,1,65,0,2,0.013615,0
ghc,10000,1,65,0,3,0.012937,0
ghc,10000,1,70,0,1,0.013644,0
ghc,10000,1,70,0,2,0.013330,0
ghc,10000,1,70,0,3,0.013082,0
ghc,10000,1,75,0,1,0.018106,0
ghc,10000,1,75,0,2,0.013163,0
ghc,10000,1,75,0,3,0.013098,0
ghc,10000,1,80,0,1,0.012888,0
ghc,10000,1,80,0,2,0.012883,0
ghc,10000,1,80,0,3,0.012870,0
ghc,10000,1,85,0,1,0.013483,0
ghc,10000,1,85,0,2,0.012936,0
ghc,10000,1,85,0,3,0.012769,0
ghc,10000,1,90,0,1,0.012886,0
ghc,10000,1,90,0,2,0.013280,0
ghc,10000,1,90,0,3,0.012933,0
ghc,10000,1,95,0,1,0.012902,0
ghc,10000,1,95,0,2,0.013270,0
ghc,10000,1,95,0,3,0.013705,0
ghc,10000,1,100,0,1,0.012944,0
ghc,10000,1,100,0,2,0.013038,0
ghc,10000,1,100,0,3,0.013827,0
ghc,10000,2,0,0,1,0.013041,0
ghc,10000,2,0,0,2,0.013168,0
ghc,10000,2,0,0,3,0.012994,0
ghc,10000,2,5,0,1,0.013563,0
ghc,10000,2,5,0,2,0.012760,0
ghc,10000,2,5,0,3,0.012943,0
ghc,10000,2,10,0,1,0.013826,0
ghc,10000,2,10,0,2,0.013747,0
ghc,10000,2,10,0,3,0.014196,0
ghc,10000,2,15,0,1,0.013900,0
ghc,10000,2,15,0,2,0.013054,0
ghc,10000,2,15,0,3,0.012974,0
ghc,10000,2,20,0,1,0.013116,0
ghc,10000,2,20,0,2,0.013003,0
ghc,10000,2,20,0,3,0.013251,0
ghc,10000,2,25,0,1,0.013013,0
ghc,10000,2,25,0,2,0.013004,0
ghc,10000,2,25,0,3,0.013263,0
ghc,10000,2,30,0,1,0.013172,0
ghc,10000,2,30,0,2,0.013306,0
ghc,10000,2,30,0,3,0.013247,0
ghc,10000,2,35,0,1,0.013336,0
ghc,10000,2,35,0,2,0.013352,0
ghc,10000,2,35,0,3,0.013139,0
ghc,10000,2,40,0,1,0.013742,0
ghc,10000,2,40,0,2,0.012978,0
ghc,10000,2,40,0,3,0.013253,0
ghc,10000,2,45,0,1,0.012783,0
ghc,10000,2,45,0,2,0.003141,0
ghc,10000,2,45,0,3,0.012676,0
ghc,10000,2,50,0,1,0.013023,0
ghc,10000,2,50,0,2,0.013491,0
ghc,10000,2,50,0,3,0.013475,0
ghc,10000,2,55,0,1,0.013843,0
ghc,10000,2,55,0,2,0.012910,0
ghc,10000,2,55,0,3,0.012798,0
ghc,10000,2,60,0,1,0.013656,0
ghc,10000,2,60,0,2,0.013318,0
ghc,10000,2,60,0,3,0.013209,0
ghc,10000,2,65,0,1,0.013027,0
ghc,10000,2,65,0,2,0.013049,0
ghc,10000,2,65,0,3,0.012687,0
ghc,10000,2,70,0,1,0.012976,0
ghc,10000,2,70,0,2,0.012886,0
ghc,10000,2,70,0,3,0.013375,0
ghc,10000,2,75,0,1,0.013096,0
ghc,10000,2,75,0,2,0.012982,0
ghc,10000,2,75,0,3,0.012835,0
ghc,10000,2,80,0,1,0.012871,0
ghc,10000,2,80,0,2,0.013385,0
ghc,10000,2,80,0,3,0.013061,0
ghc,10000,2,85,0,1,0.021123,0
ghc,10000,2,85,0,2,0.012631,0
ghc,10000,2,85,0,3,0.012778,0
ghc,10000,2,90,0,1,0.012948,0
ghc,10000,2,90,0,2,0.013159,0
ghc,10000,2,90,0,3,0.013071,0
ghc,10000,2,95,0,1,0.013119,0
ghc,10000,2,95,0,2,0.013132,0
ghc,10000,2,95,0,3,0.012900,0
ghc,10000,2,100,0,1,0.013377,0
ghc,10000,2,100,0,2,0.013285,0
ghc,10000,2,100,0,3,0.013005,0
ghc,10000,4,0,0,1,0.013123,0
ghc,10000,4,0,0,2,0.012813,0
ghc,10000,4,0,0,3,0.013108,0
ghc,10000,4,5,0,1,0.013439,0
ghc,10000,4,5,0,2,0.012914,0
ghc,10000,4,5,0,3,0.013395,0
ghc,10000,4,10,0,1,0.014007,0
ghc,10000,4,10,0,2,0.013517,0
ghc,10000,4,10,0,3,0.013539,0
ghc,10000,4,15,0,1,0.013107,0
ghc,10000,4,15,0,2,0.013152,0
ghc,10000,4,15,0,3,0.013814,0
ghc,10000,4,20,0,1,0.013344,0
ghc,10000,4,20,0,2,0.013775,0
ghc,10000,4,20,0,3,0.013000,0
ghc,10000,4,25,0,1,0.013229,0
ghc,10000,4,25,0,2,0.012740,0
ghc,10000,4,25,0,3,0.013136,0
ghc,10000,4,30,0,1,0.013580,0
ghc,10000,4,30,0,2,0.012829,0
ghc,10000,4,30,0,3,0.012951,0
ghc,10000,4,35,0,1,0.013162,0
ghc,10000,4,35,0,2,0.012953,0
ghc,10000,4,35,0,3,0.012859,0
ghc,10000,4,40,0,1,0.013374,0
ghc,10000,4,40,0,2,0.012768,0
ghc,10000,4,40,0,3,0.013212,0
ghc,10000,4,45,0,1,0.013028,0
ghc,10000,4,45,0,2,0.013093,0
ghc,10000,4,45,0,3,0.013652,0
ghc,10000,4,50,0,1,0.013362,0
ghc,10000,4,50,0,2,0.013236,0
ghc,10000,4,50,0,3,0.013588,0
ghc,10000,4,55,0,1,0.012890,0
ghc,10000,4,55,0,2,0.013321,0
ghc,10000,4,55,0,3,0.012999,0
ghc,10000,4,60,0,1,0.013124,0
ghc,10000,4,60,0,2,0.013397,0
ghc,10000,4,60,0,3,0.013013,0
ghc,10000,4,65,0,1,0.013199,0
ghc,10000,4,65,0,2,0.013737,0
ghc,10000,4,65,0,3,0.013164,0
ghc,10000,4,70,0,1,0.013214,0
ghc,10000,4,70,0,2,0.013324,0
ghc,10000,4,70,0,3,0.013392,0
ghc,10000,4,75,0,1,0.012781,0
ghc,10000,4,75,0,2,0.013084,0
ghc,10000,4,75,0,3,0.012964,0
ghc,10000,4,80,0,1,0.012869,0
ghc,10000,4,80,0,2,0.012996,0
ghc,10000,4,80,0,3,0.013075,0
ghc,10000,4,85,0,1,0.012914,0
ghc,10000,4,85,0,2,0.012683,0
ghc,10000,4,85,0,3,0.012475,0
ghc,10000,4,90,0,1,0.013244,0
ghc,10000,4,90,0,2,0.012778,0
ghc,10000,4,90,0,3,0.012878,0
ghc,10000,4,95,0,1,0.012919,0
ghc,10000,4,95,0,2,0.013166,0
ghc,10000,4,95,0,3,0.012834,0
ghc,10000,4,100,0,1,0.013695,0
ghc,10000,4,100,0,2,0.013807,0
ghc,10000,4,100,0,3,0.014206,0
ghc,10000,8,0,0,1,0.012762,0
ghc,10000,8,0,0,2,0.012814,0
ghc,10000,8,0,0,3,0.013606,0
ghc,10000,8,5,0,1,0.013244,0
ghc,10000,8,5,0,2,0.013318,0
ghc,10000,8,5,0,3,0.013189,0
ghc,10000,8,10,0,1,0.013160,0
ghc,10000,8,10,0,2,0.012975,0
ghc,10000,8,10,0,3,0.013052,0
ghc,10000,8,15,0,1,0.012900,0
ghc,10000,8,15,0,2,0.013051,0
ghc,10000,8,15,0,3,0.013400,0
ghc,10000,8,20,0,1,0.013097,0
ghc,10000,8,20,0,2,0.013169,0
ghc,10000,8,20,0,3,0.013052,0
ghc,10000,8,25,0,1,0.013379,0
ghc,10000,8,25,0,2,0.012792,0
ghc,10000,8,25,0,3,0.013226,0
ghc,10000,8,30,0,1,0.012913,0
ghc,10000,8,30,0,2,0.013264,0
ghc,10000,8,30,0,3,0.013350,0
ghc,10000,8,35,0,1,0.013159,0
ghc,10000,8,35,0,2,0.012920,0
ghc,10000,8,35,0,3,0.013069,0
ghc,10000,8,40,0,1,0.013694,0
ghc,10000,8,40,0,2,0.013186,0
ghc,10000,8,40,0,3,0.013560,0
ghc,10000,8,45,0,1,0.013001,0
ghc,10000,8,45,0,2,0.013661,0
ghc,10000,8,45,0,3,0.013705,0
ghc,10000,8,50,0,1,0.013254,0
ghc,10000,8,50,0,2,0.012886,0
ghc,10000,8,50,0,3,0.013364,0
ghc,10000,8,55,0,1,0.013241,0
ghc,10000,8,55,0,2,0.013671,0
ghc,10000,8,55,0,3,0.013039,0
ghc,10000,8,60,0,1,0.013290,0
ghc,10000,8,60,0,2,0.013200,0
ghc,10000,8,60,0,3,0.013246,0
ghc,10000,8,65,0,1,0.013126,0
ghc,10000,8,65,0,2,0.013633,0
ghc,10000,8,65,0,3,0.012955,0
ghc,10000,8,70,0,1,0.012890,0
ghc,10000,8,70,0,2,0.013064,0
ghc,10000,8,70,0,3,0.013314,0
ghc,10000,8,75,0,1,0.013207,0
ghc,10000,8,75,0,2,0.013161,0
ghc,10000,8,75,0,3,0.012739,0
ghc,10000,8,80,0,1,0.012902,0
ghc,10000,8,80,0,2,0.013062,0
ghc,10000,8,80,0,3,0.012849,0
ghc,10000,8,85,0,1,0.013194,0
ghc,10000,8,85,0,2,0.013137,0
ghc,10000,8,85,0,3,0.013704,0
ghc,10000,8,90,0,1,0.013465,0
ghc,10000,8,90,0,2,0.013321,0
ghc,10000,8,90,0,3,0.013234,0
ghc,10000,8,95,0,1,0.013061,0
ghc,10000,8,95,0,2,0.013013,0
ghc,10000,8,95,0,3,0.012975,0
ghc,10000,8,100,0,1,0.025418,0
ghc,10000,8,100,0,2,0.035773,0
ghc,10000,8,100,0,3,0.035452,0
